step,tokens,train_loss,val_loss,lr,tok_per_sec
2100,550502400,3.5010,,2.499982e-04,50727
2110,553123840,3.4706,,2.499978e-04,50732
2120,555745280,3.5074,,2.499974e-04,50738
2130,558366720,3.5050,,2.499970e-04,50768
2140,560988160,3.5057,,2.499965e-04,50785
2150,563609600,3.4783,,2.499960e-04,50770
2160,566231040,3.4687,,2.499954e-04,50713
2170,568852480,3.4499,,2.499948e-04,50711
2180,571473920,3.4746,,2.499942e-04,50704
2190,574095360,3.4458,,2.499935e-04,50695
2200,576716800,3.4500,,2.499928e-04,50690
2210,579338240,3.4790,,2.499920e-04,50666
2220,581959680,3.4800,,2.499913e-04,50670
2230,584581120,3.4544,,2.499905e-04,50657
2240,587202560,3.4473,,2.499896e-04,50652
2250,589824000,3.4202,,2.499887e-04,50662
2260,592445440,3.4616,,2.499878e-04,50656
2270,595066880,3.4272,,2.499868e-04,50648
2280,597688320,3.4551,,2.499858e-04,50665
2290,600309760,3.4420,,2.499848e-04,50652
2300,602931200,3.4578,,2.499837e-04,50658
2310,605552640,3.4173,,2.499826e-04,50644
2320,608174080,3.4475,,2.499815e-04,50640
2330,610795520,3.4363,,2.499803e-04,50654
2340,613416960,3.4281,,2.499791e-04,50653
2350,616038400,3.4338,,2.499778e-04,50664
2360,618659840,3.4108,,2.499765e-04,50657
2370,621281280,3.4270,,2.499752e-04,50640
2380,623902720,3.4382,,2.499738e-04,50648
2390,626524160,3.4241,,2.499725e-04,50661
2400,629145600,3.3735,,2.499710e-04,50657
2410,631767040,3.4154,,2.499695e-04,50647
2420,634388480,3.4417,,2.499680e-04,50632
2430,637009920,3.4335,,2.499665e-04,50622
2440,639631360,3.4023,,2.499649e-04,50617
2450,642252800,3.3936,,2.499633e-04,50632
2460,644874240,3.4470,,2.499616e-04,50623
2470,647495680,3.4324,,2.499600e-04,50645
2480,650117120,3.4092,,2.499582e-04,50653
2490,652738560,3.4178,,2.499565e-04,50700
2500,655360000,3.3848,,2.499547e-04,50683
2500,655360000,,3.4029,2.499547e-04,
2510,657981440,3.3649,,2.499528e-04,50995
2520,660602880,3.3862,,2.499510e-04,50664
2530,663224320,3.4050,,2.499491e-04,50642
2540,665845760,3.3770,,2.499471e-04,50663
2550,668467200,3.3886,,2.499451e-04,50656
2560,671088640,3.3762,,2.499431e-04,50654
2570,673710080,3.3637,,2.499411e-04,50656
2580,676331520,3.3799,,2.499390e-04,50660
2590,678952960,3.3859,,2.499368e-04,50637
2600,681574400,3.3650,,2.499347e-04,50619
2610,684195840,3.3630,,2.499325e-04,50634
2620,686817280,3.3697,,2.499302e-04,50612
2630,689438720,3.3722,,2.499280e-04,50625
2640,692060160,3.3618,,2.499257e-04,50624
2650,694681600,3.3974,,2.499233e-04,50622
2660,697303040,3.3541,,2.499209e-04,50646
2670,699924480,3.3598,,2.499185e-04,50620
2680,702545920,3.3661,,2.499161e-04,50617
2690,705167360,3.3770,,2.499136e-04,50631
2700,707788800,3.3438,,2.499111e-04,50666
2710,710410240,3.3649,,2.499085e-04,50649
2720,713031680,3.3309,,2.499059e-04,50657
2730,715653120,3.3450,,2.499033e-04,50651
2740,718274560,3.3707,,2.499006e-04,50644
2750,720896000,3.3377,,2.498979e-04,50645
2760,723517440,3.3472,,2.498951e-04,50628
2770,726138880,3.3295,,2.498924e-04,50601
2780,728760320,3.3347,,2.498895e-04,50609
2790,731381760,3.3831,,2.498867e-04,50651
2800,734003200,3.3300,,2.498838e-04,50624
2810,736624640,3.3213,,2.498809e-04,50619
2820,739246080,3.3127,,2.498779e-04,50626
2830,741867520,3.3344,,2.498749e-04,50639
2840,744488960,3.3346,,2.498719e-04,50673
2850,747110400,3.3315,,2.498688e-04,50684
2860,749731840,3.3301,,2.498657e-04,50714
2870,752353280,3.3444,,2.498625e-04,50754
2880,754974720,3.3315,,2.498594e-04,50762
2890,757596160,3.3187,,2.498561e-04,50765
2900,760217600,3.3447,,2.498529e-04,50750
2910,762839040,3.3285,,2.498496e-04,50782
2920,765460480,3.3066,,2.498463e-04,50744
2930,768081920,3.3418,,2.498429e-04,50759
2940,770703360,3.3100,,2.498395e-04,50754
2950,773324800,3.3272,,2.498361e-04,50745
2960,775946240,3.3017,,2.498326e-04,50741
2970,778567680,3.3398,,2.498291e-04,50716
2980,781189120,3.3299,,2.498255e-04,50752
2990,783810560,3.3243,,2.498220e-04,50761
3000,786432000,3.2812,,2.498183e-04,50737
3000,786432000,,3.3192,2.498183e-04,
3010,789053440,3.2940,,2.498147e-04,19075
3020,791674880,3.3009,,2.498110e-04,50867
3030,794296320,3.3033,,2.498073e-04,50713
3040,796917760,3.2878,,2.498035e-04,50669
3050,799539200,3.3152,,2.497997e-04,50648
3060,802160640,3.2838,,2.497959e-04,30317
3070,804782080,3.2951,,2.497920e-04,50672
3080,807403520,3.3226,,2.497881e-04,50658
3090,810024960,3.3129,,2.497842e-04,50614
3100,812646400,3.3014,,2.497802e-04,50604
3110,815267840,3.3099,,2.497762e-04,50610
3120,817889280,3.2905,,2.497721e-04,50619
3130,820510720,3.2761,,2.497680e-04,50657
3140,823132160,3.3125,,2.497639e-04,50664
3150,825753600,3.2538,,2.497597e-04,50642
3160,828375040,3.2627,,2.497555e-04,50604
3170,830996480,3.2696,,2.497513e-04,50623
3180,833617920,3.2848,,2.497470e-04,50673
3190,836239360,3.2795,,2.497427e-04,50679
3200,838860800,3.2859,,2.497384e-04,50697
3210,841482240,3.2566,,2.497340e-04,50695
3220,844103680,3.2806,,2.497296e-04,50701
3230,846725120,3.2735,,2.497251e-04,50718
3240,849346560,3.2685,,2.497206e-04,50705
3250,851968000,3.2789,,2.497161e-04,50708
3260,854589440,3.2689,,2.497115e-04,50715
3270,857210880,3.2748,,2.497069e-04,50715
3280,859832320,3.2890,,2.497023e-04,50738
3290,862453760,3.2653,,2.496976e-04,50714
3300,865075200,3.2377,,2.496929e-04,50705
3310,867696640,3.2619,,2.496882e-04,50723
3320,870318080,3.2614,,2.496834e-04,50709
3330,872939520,3.2404,,2.496786e-04,50694
3340,875560960,3.2736,,2.496737e-04,50720
3350,878182400,3.2767,,2.496688e-04,50691
3360,880803840,3.2686,,2.496639e-04,50597
3370,883425280,3.2386,,2.496590e-04,50632
3380,886046720,3.2529,,2.496540e-04,50613
3390,888668160,3.2909,,2.496489e-04,50598
3400,891289600,3.2245,,2.496438e-04,50601
3410,893911040,3.2804,,2.496387e-04,50589
3420,896532480,3.2460,,2.496336e-04,50595
3430,899153920,3.2554,,2.496284e-04,50588
3440,901775360,3.2433,,2.496232e-04,50588
3450,904396800,3.2310,,2.496179e-04,50591
3460,907018240,3.2299,,2.496127e-04,50589
3470,909639680,3.2505,,2.496073e-04,50577
3480,912261120,3.2352,,2.496020e-04,50570
3490,914882560,3.2446,,2.495966e-04,50573
3500,917504000,3.2420,,2.495911e-04,50594
3500,917504000,,3.2639,2.495911e-04,
3510,920125440,3.2446,,2.495857e-04,50394
3520,922746880,3.2514,,2.495802e-04,50619
3530,925368320,3.2108,,2.495746e-04,50594
3540,927989760,3.2206,,2.495690e-04,50593
3550,930611200,3.2190,,2.495634e-04,50621
3560,933232640,3.2295,,2.495578e-04,50614
3570,935854080,3.2231,,2.495521e-04,50643
3580,938475520,3.2370,,2.495464e-04,50615
3590,941096960,3.2356,,2.495406e-04,50632
3600,943718400,3.2527,,2.495348e-04,50693
3610,946339840,3.2040,,2.495290e-04,50688
3620,948961280,3.2253,,2.495231e-04,50699
3630,951582720,3.2241,,2.495172e-04,50709
3640,954204160,3.2106,,2.495113e-04,50705
3650,956825600,3.2095,,2.495053e-04,50702
3660,959447040,3.2305,,2.494993e-04,50650
3670,962068480,3.2101,,2.494932e-04,50695
3680,964689920,3.2167,,2.494871e-04,50725
3690,967311360,3.1927,,2.494810e-04,50692
3700,969932800,3.1996,,2.494749e-04,50669
3710,972554240,3.1985,,2.494687e-04,50682
3720,975175680,3.2247,,2.494624e-04,50667
3730,977797120,3.1849,,2.494562e-04,50720
3740,980418560,3.1949,,2.494499e-04,50724
3750,983040000,3.2165,,2.494435e-04,50730
3760,985661440,3.2190,,2.494371e-04,50727
3770,988282880,3.2148,,2.494307e-04,50716
3780,990904320,3.2056,,2.494243e-04,50733
3790,993525760,3.1948,,2.494178e-04,50713
3800,996147200,3.1934,,2.494113e-04,50720
3810,998768640,3.1802,,2.494047e-04,50718
3820,1001390080,3.1645,,2.493981e-04,50666
3830,1004011520,3.1745,,2.493915e-04,50718
3840,1006632960,3.1811,,2.493848e-04,50718
3850,1009254400,3.1700,,2.493781e-04,50672
3860,1011875840,3.1767,,2.493714e-04,50675
3870,1014497280,3.2008,,2.493646e-04,50697
3880,1017118720,3.1943,,2.493578e-04,50693
3890,1019740160,3.1583,,2.493510e-04,50728
3900,1022361600,3.1802,,2.493441e-04,50711
3910,1024983040,3.2060,,2.493372e-04,50697
3920,1027604480,3.1752,,2.493302e-04,50705
3930,1030225920,3.1637,,2.493232e-04,50717
3940,1032847360,3.1762,,2.493162e-04,50667
3950,1035468800,3.1953,,2.493091e-04,50716
3960,1038090240,3.2084,,2.493020e-04,50698
3970,1040711680,3.1606,,2.492949e-04,50691
3980,1043333120,3.1827,,2.492877e-04,50670
3990,1045954560,3.1584,,2.492805e-04,50685
4000,1048576000,3.1892,,2.492732e-04,50695
4000,1048576000,,3.2145,2.492732e-04,
4010,1051197440,3.2110,,2.492660e-04,26844
4020,1053818880,3.2054,,2.492586e-04,50865
4030,1056440320,3.1968,,2.492513e-04,50727
4040,1059061760,3.2146,,2.492439e-04,50746
4050,1061683200,3.2018,,2.492365e-04,50691
4060,1064304640,3.1746,,2.492290e-04,50682
4070,1066926080,3.2226,,2.492215e-04,50707
4080,1069547520,3.1859,,2.492140e-04,50707
4090,1072168960,3.2223,,2.492064e-04,50702
4100,1074790400,3.2084,,2.491988e-04,50707
4110,1077411840,3.1962,,2.491912e-04,50704
4120,1080033280,3.1989,,2.491835e-04,50692
4130,1082654720,3.2208,,2.491758e-04,50653
4140,1085276160,3.1977,,2.491680e-04,50709
4150,1087897600,3.2163,,2.491602e-04,47586
4160,1090519040,3.2097,,2.491524e-04,28955
4170,1093140480,3.2033,,2.491445e-04,50797
4180,1095761920,3.1691,,2.491366e-04,50727
4190,1098383360,3.2125,,2.491287e-04,50713
4200,1101004800,3.2154,,2.491207e-04,50694
